account_id,borrower_income,dti_ratio,interest_rate,credit_utilization,delinquencies_6m,current_balance,default_flag,probability_of_default
1001,77417.85,0.191,0.0862,0.5511,0,23788.81,0,0.3472834769625522
1002,61543.39,0.4294,0.1202,0.9174,1,27783.48,1,0.9561034279093826
1003,81192.21,0.1351,0.2122,0.7358,0,13526.54,1,0.6373404760111878
1004,103075.75,0.3375,0.1903,0.1516,0,26222.25,1,0.2801527079842744
1005,59146.17,0.2612,0.1136,0.9087,0,34841.11,0,0.7606356512936611
1006,59146.58,0.4532,0.2223,0.4331,0,26346.97,1,0.7400042241764291
1007,104480.32,0.0572,0.0642,0.5705,0,24226.61,1,0.1858878305056437
1008,84185.87,0.0492,0.0595,0.2573,0,23495.43,0,0.08623635242872185
1009,53263.14,0.1661,0.0742,0.4948,2,35464.91,1,0.8514545443820494
1010,78564.0,0.2226,0.0721,0.4444,0,35133.59,0,0.2757256492649409
1011,53414.56,0.3101,0.0667,0.6214,1,35002.81,1,0.8014223525131278
1012,53356.76,0.1099,0.1757,0.3764,0,14846.8,1,0.33796251954927037
1013,71049.06,0.034,0.1642,0.4478,0,29715.8,0,0.27451737397045584
1014,20000.0,0.5622,0.173,0.3508,1,36156.29,1,0.9232104914254533
1015,21877.05,0.1625,0.1808,0.5241,0,27475.77,1,0.5855928050029402
1016,50942.81,0.371,0.1938,0.2681,0,36159.09,1,0.5230671139142795
1017,39679.22,0.0962,0.0894,0.2844,0,39176.14,0,0.1878502731055292
1018,72856.18,0.1826,0.1682,0.8556,0,11955.6,1,0.7149875175949839
1019,42299.4,0.0716,0.1602,0.6507,0,17253.63,1,0.5207542180981908
1020,29692.41,0.5191,0.2293,0.4962,0,29052.39,1,0.8618853068413324
1021,101641.22,0.149,0.0941,0.235,0,16587.14,0,0.11910005484528492
1022,59355.59,0.0559,0.0612,0.3654,0,42655.42,0,0.1505971436235845
1023,66688.21,0.4362,0.1742,0.5823,0,12765.37,1,0.7455587849042857
1024,29381.3,0.1661,0.1906,0.3406,0,19277.92,0,0.4386736773826739
1025,51390.43,0.4677,0.1038,0.3333,0,44772.25,1,0.5155167734636572
1026,67773.06,0.2742,0.1585,0.5012,1,12567.27,1,0.7925879824906542
1027,36225.16,0.23,0.0613,0.5054,0,22952.71,0,0.4016747809847368
1028,74392.45,0.3363,0.2324,0.3965,0,17551.29,1,0.600950613227347
1029,49984.03,0.1259,0.0709,0.9018,0,37391.97,0,0.6069279167009864
1030,57707.66,0.1558,0.0628,0.3667,0,17165.89,0,0.2097418907910257
1031,49957.33,0.2406,0.0584,0.5477,0,11457.16,0,0.4074880654238437
1032,111306.95,0.3338,0.1312,0.7814,0,42325.41,0,0.6503738246012978
1033,64662.57,0.2233,0.0685,0.4516,0,17696.1,1,0.30404548661280034
1034,38557.23,0.0355,0.1915,0.2583,1,34669.9,1,0.5408384219441281
1035,85563.62,0.247,0.2208,0.4874,0,16622.71,1,0.5464832115204473
1036,34478.91,0.1759,0.0994,0.2677,1,12143.27,0,0.5361351608727426
1037,70221.59,0.2224,0.1695,0.0522,1,37096.49,1,0.43390743907465046
1038,20000.0,0.1984,0.058,0.6204,0,7223.28,1,0.4986400056463391
1039,31795.35,0.1951,0.1234,0.3999,0,18278.91,0,0.39749563269468907
1040,69921.53,0.2294,0.1057,0.7723,0,36203.27,1,0.6072146711891828
1041,83461.66,0.3654,0.0934,0.8651,0,25485.5,1,0.7371418120997527
1042,69284.21,0.0926,0.1725,0.8204,0,32582.95,0,0.6301642663614576
1043,62108.79,0.1707,0.0747,0.5218,3,7672.68,1,0.9533388653698529
1044,57472.41,0.0872,0.2135,0.6899,1,34992.4,1,0.8487017910064567
1045,28036.95,0.1656,0.1763,0.2557,0,11877.62,0,0.3527371673866577
1046,47003.89,0.2229,0.185,0.2134,0,37348.16,1,0.3411386383574842
1047,53484.03,0.0935,0.2277,0.5231,0,27566.99,0,0.5222657225609719
1048,91428.06,0.2524,0.2291,0.4457,1,34566.47,1,0.7887861116068764
1049,73590.46,0.253,0.1548,0.5259,0,13513.31,1,0.5029635963309192
1050,20924.0,0.1074,0.1441,0.4883,0,20817.02,0,0.4473949338194834
1051,73102.1,0.1784,0.1137,0.7952,0,37082.77,1,0.5847433747540686
1052,55372.94,0.0351,0.186,0.5105,0,41432.18,0,0.38566723393849933
1053,48076.95,0.1093,0.1523,0.2043,0,14062.89,0,0.2075940842003909
1054,80291.91,0.1548,0.2272,0.6069,2,36735.75,1,0.9439378804383499
1055,90774.99,0.1403,0.0953,0.3905,2,9342.21,1,0.7473857817250277
1056,88282.0,0.0473,0.1089,0.6987,1,22029.95,1,0.647472964271974
1057,44019.56,0.082,0.1101,0.5818,1,42548.79,1,0.6891345843901537
1058,57269.69,0.1777,0.2031,0.668,1,42805.46,1,0.8725096885397007
1059,73281.59,0.4,0.0688,0.6547,1,16867.29,1,0.8401246868725202
1060,89388.63,0.3207,0.1366,0.7377,0,12716.54,1,0.6635425792003027
1061,53020.64,0.2171,0.1312,0.1883,1,10979.45,1,0.517631798023916
1062,60358.53,0.2894,0.0639,0.3156,1,24235.01,1,0.5586019774363438
1063,37341.63,0.4202,0.1281,0.8054,1,8683.07,1,0.9512193226919108
1064,35094.83,0.075,0.1475,0.3389,0,19274.12,1,0.2820619952690334
1065,85313.15,0.4333,0.0624,0.3339,1,5680.44,0,0.6406902475762161
1066,98906.0,0.3008,0.1469,0.5552,1,15375.92,0,0.7746834390314127
1067,63199.75,0.3659,0.2323,0.5699,0,41011.08,1,0.7673031518052236
1068,90088.32,0.0809,0.236,0.6634,1,22879.14,1,0.8094325290409412
1069,74040.9,0.1586,0.151,0.2846,0,7949.82,1,0.2394157874848233
1070,48872.01,0.3534,0.1479,0.7062,1,30873.47,1,0.9181515717456104
1071,74034.89,0.2037,0.1042,0.6339,0,43225.34,1,0.45979757370446156
1072,103450.91,0.185,0.2395,0.3753,0,23536.3,1,0.38701568661727676
1073,64104.35,0.4215,0.1021,0.3849,0,29971.51,1,0.48066971130977704
1074,104116.09,0.1866,0.1361,0.7824,0,41776.72,1,0.5443328505282555
1075,20000.0,0.2489,0.0506,0.3152,0,21763.98,0,0.2972093001654929
1076,85547.56,0.4197,0.1164,0.6872,0,31583.47,1,0.6871420881262623
1077,67176.18,0.4478,0.0636,0.2996,1,22628.17,1,0.66940988667846
1078,57524.82,0.104,0.1913,0.518,0,43485.24,0,0.45761684078287057
1079,67294.02,0.1814,0.1566,0.5756,0,25152.06,1,0.4950397302186511
1080,20000.0,0.3154,0.1587,0.3783,0,40426.12,1,0.5774155231266012
1081,59508.2,0.4773,0.1044,0.5294,0,25287.94,1,0.659609007302696
1082,73927.81,0.1061,0.2048,0.4666,1,31735.44,1,0.7003892823816247
1083,101947.35,0.3221,0.0506,0.502,0,20445.66,0,0.3147132900995298
1084,52043.24,0.1908,0.1134,0.766,0,41702.2,0,0.6216894667852539
1085,44787.66,0.4166,0.1753,0.2797,0,30877.69,1,0.5589914669142942
1086,52456.07,0.116,0.2225,0.4516,1,5796.49,1,0.7621192128906346
1087,87885.05,0.4241,0.0946,0.3804,0,5625.65,1,0.40996710723655755
1088,73218.78,0.3129,0.1528,0.5996,0,32047.1,1,0.6143438849698137
1089,51755.99,0.1704,0.1522,0.4024,1,9570.75,1,0.6782970992756766
1090,77831.69,0.0551,0.2161,0.1958,0,33646.58,0,0.1923392847311246
1091,67426.94,0.2796,0.0596,0.6999,0,17880.67,1,0.5261073448776495
1092,89216.12,0.2031,0.1307,0.7282,1,26556.79,0,0.8054831253632311
1093,47448.67,0.04,0.0847,0.7186,0,11975.98,0,0.4094746308552856
1094,56808.45,0.4312,0.0541,0.5593,1,14848.87,1,0.8216428696109276
1095,55197.3,0.1744,0.0779,0.7715,1,22476.71,1,0.8077327037046361
1096,28412.13,0.4095,0.2355,0.1344,0,31619.1,1,0.5738279225298966
1097,72403.01,0.2911,0.0908,0.2445,1,11229.27,1,0.5179316071219418
1098,71526.38,0.4356,0.2277,0.1844,0,16251.33,1,0.5213381332454021
1099,65127.84,0.0171,0.089,0.3774,1,13278.5,0,0.38746178710209817
1100,59135.32,0.2431,0.2269,0.322,0,39506.97,0,0.48285345052105805
1101,29615.73,0.5216,0.1744,0.1673,0,30920.26,1,0.5997353987966149
1102,54483.87,0.1128,0.0715,0.3322,0,23739.83,0,0.1809561852084362
1103,56432.14,0.239,0.1606,0.4829,0,42877.72,0,0.506366414039921
1104,44943.07,0.0755,0.1105,0.4744,0,34433.05,0,0.3029701296374615
1105,60967.86,0.5087,0.1228,0.7364,0,42289.04,1,0.8265210567448543
1106,75101.27,0.1746,0.1336,0.8512,0,28903.72,1,0.6510040678018826
